Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2015-04-08,13,2164,977352,464,449,458
2015-04-09,22,7084,3217233,471,451,471
2015-04-12,34,4345,2055726,482,468,479
2015-04-13,34,4158,1942976,472,461,472
2015-04-15,42,13284,6136508,475,455,474
2015-04-16,60,8979,4145565,468,455,468
2015-04-19,10,820,355050,437,429,436
2015-04-20,9,1363,594229,439,434,436
2015-04-21,9,1312,569615,439,431,439
2015-04-22,7,619,269707,440,435,440
2015-04-23,13,1563,674415,434,430,432
2015-05-24,5,90,36080,424,392,392
2015-05-25,13,844,307401,385,360,365
2015-05-26,7,1215,466395,397,370,397
2015-05-27,3,230,87810,390,376,376
2015-05-28,10,2330,901410,393,380,390
2015-05-31,8,1141,455848,402,392,397
2015-06-01,11,2353,937623,404,390,400
2015-06-02,4,181,72480,402,400,400
2015-06-03,16,1581,662618,432,402,432
2015-06-04,15,2566,1100750,440,420,420
2015-06-07,11,5611,2408058,435,425,430
2015-06-08,18,1959,842943,438,425,430
2015-06-09,24,3888,1753306,463,438,448
2015-06-10,5,880,381800,440,432,438
2015-06-11,16,2209,941044,432,422,425
2015-06-14,8,2431,1013256,420,413,413
2015-06-15,8,1505,629122,427,407,421
2015-06-16,10,1298,544264,426,418,426
2015-06-17,9,1700,720030,426,418,423
2015-06-18,19,873,362996,422,412,416
2015-06-21,9,1001,415603,416,413,415
2015-06-22,18,1380,571866,420,410,415
2015-06-23,16,7897,3292563,423,415,420
2015-06-24,8,1269,529878,425,414,414
2015-06-25,9,833,348643,420,417,419
2015-06-28,18,2180,910700,420,415,420
2015-06-29,26,8930,3669790,420,406,420
2015-06-30,13,6613,2708936,415,406,415
2015-07-01,9,572,233930,410,408,410
2015-07-02,15,4059,1643141,408,403,405
2015-07-05,11,1564,646616,419,408,417
2015-07-06,5,330,134060,417,403,404
2015-07-07,36,6448,2614217,410,404,405
2015-07-08,14,2073,843825,409,406,408
2015-07-09,5,401,165640,416,410,410
2015-07-12,18,5083,2078989,412,405,411
2015-07-13,3,1242,508699,410,409,409
2015-07-14,14,3414,1399073,414,406,410
2015-07-15,15,2601,1075295,418,408,415
2015-07-16,5,391,163902,432,416,432
2015-07-22,41,7356,3155266,442,421,440
2015-07-23,47,7731,3451191,465,435,465
2015-07-26,5,140,70600,511,474,511
2015-07-27,37,8007,3888936,521,476,498
2015-07-28,7,682,328922,489,480,480
2015-07-29,3,120,56320,471,467,467
2015-07-30,23,3973,1815435,465,450,450
2015-08-02,9,558,249171,449,445,446
2015-08-03,41,3667,1649736,458,440,457
2015-08-04,43,7651,3383326,460,439,441
2015-08-05,50,6625,2937510,459,437,452
2015-08-06,50,8242,3792897,465,455,463
